;;1 = active;0 = inactive;;;;;;;;;;;;;;;;;
name;household;Clean;Communications;Cook;Cool;DHW;EMS;Entertainment;Fridge;Heat;Hot water;Light;Logistics;Security;Smart;Telework;Travel;Ventilation;Water;White
EF9-1;EF9-1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1
EF10-1;EF10-1;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;1;0;1;1
EF11-1;EF11-1;1;0;1;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0
EF12-1;EF12-1;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0
EF13-1;EF13-1;0;1;1;0;1;0;1;1;1;0;1;0;0;0;0;1;0;1;0
EF14-1;EF14-1;1;0;0;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0
EF15-1;EF15-1;1;0;1;0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0
EF16-1;EF16-1;1;1;0;0;0;1;1;1;1;0;1;1;1;0;0;0;0;1;0
EF17-1;EF17-1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0
EF18-1;EF18-1;0;1;0;0;0;1;1;0;1;0;1;1;0;0;1;0;0;1;1
EF19-1;EF19-1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1
EF20-1;EF20-1;1;0;1;0;1;1;0;1;1;1;0;1;0;0;0;0;0;0;1
MF1-1;MF1-1;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0
MF1-2;MF1-2;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0
MF1-3;MF1-3;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;1;0
MF1-4;MF1-4;1;1;0;0;1;0;0;1;1;0;1;1;1;1;0;0;0;1;1
MF1-5;MF1-5;0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;1
MF1-6;MF1-6;1;1;1;0;1;0;1;1;1;0;0;1;0;0;1;0;0;1;1
MF1-7;MF1-7;1;0;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;1;0
MF1-8;MF1-8;1;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0
MF2-1;MF2-1;1;1;1;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0
MF2-2;MF2-2;1;1;1;0;1;0;1;0;0;0;1;1;0;0;0;1;0;1;1
MF2-3;MF2-3;1;0;1;0;0;1;0;1;0;1;1;1;1;0;1;0;0;1;1
MF2-4;MF2-4;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;0;1;1
MF2-5;MF2-5;1;1;0;1;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0
MF2-6;MF2-6;1;1;1;0;1;0;1;0;0;1;0;1;0;0;1;1;0;1;1
MF2-7;MF2-7;0;0;1;0;1;0;1;1;1;0;1;1;0;0;1;1;1;1;0
MF2-8;MF2-8;1;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;1;1
MF3-1;MF3-1;1;0;1;0;1;0;0;0;1;0;0;1;1;0;1;0;1;1;0
MF3-2;MF3-2;0;1;1;0;0;1;1;0;1;1;1;0;0;1;1;1;0;1;0
MF3-3;MF3-3;0;1;1;0;0;0;0;1;0;1;1;0;0;1;1;1;1;1;1
MF3-4;MF3-4;1;1;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1
MF3-5;MF3-5;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1
MF3-6;MF3-6;1;0;1;0;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0
MF4-1;MF4-1;0;0;1;0;1;0;0;1;1;0;1;0;1;0;0;0;0;1;1
MF4-2;MF4-2;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0
MF4-3;MF4-3;0;0;1;0;1;0;1;0;0;1;1;0;0;0;1;1;1;1;0
